P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_SL,P_IntraSL,P_OM,Date,day,dte,EntryTime,Future,CE.Strike,CE.Price,PE.Strike,PE.Price,SL,IntraSL,0.SL.Flag,0.SL.Time,0.INTRA_SL.Flag,0.INTRA_SL.Time,0.PNL,1.Decay.Flag,1.Decay.Time,1.SL.Flag,1.SL.Time,1.INTRA_SL.Flag,1.INTRA_SL.Time,1.PNL,2.Decay.Flag,2.Decay.Time,2.SL.Flag,2.SL.Time,2.INTRA_SL.Flag,2.INTRA_SL.Time,2.PNL,3.Decay.Flag,3.Decay.Time,3.SL.Flag,3.SL.Time,3.INTRA_SL.Flag,3.INTRA_SL.Time,3.PNL,4.Decay.Flag,4.Decay.Time,4.SL.Flag,4.SL.Time,4.INTRA_SL.Flag,4.INTRA_SL.Time,4.PNL,5.Decay.Flag,5.Decay.Time,5.SL.Flag,5.SL.Time,5.INTRA_SL.Flag,5.INTRA_SL.Time,5.PNL,6.Decay.Flag,6.Decay.Time,6.SL.Flag,6.SL.Time,6.INTRA_SL.Flag,6.INTRA_SL.Time,6.PNL,7.Decay.Flag,7.Decay.Time,7.SL.Flag,7.SL.Time,7.INTRA_SL.Flag,7.INTRA_SL.Time,7.PNL,8.Decay.Flag,8.Decay.Time,8.SL.Flag,8.SL.Time,8.INTRA_SL.Flag,8.INTRA_SL.Time,8.PNL,9.Decay.Flag,9.Decay.Time,9.SL.Flag,9.SL.Time,9.INTRA_SL.Flag,9.INTRA_SL.Time,9.PNL,10.Decay.Flag,10.Decay.Time,10.SL.Flag,10.SL.Time,10.INTRA_SL.Flag,10.INTRA_SL.Time,10.PNL,11.SL.Flag,11.SL.Time,11.PNL,12.SL.Flag,12.SL.Time,12.PNL,13.SL.Flag,13.SL.Time,13.PNL,14.SL.Flag,14.SL.Time,14.PNL,15.SL.Flag,15.SL.Time,15.PNL,16.SL.Flag,16.SL.Time,16.PNL,17.SL.Flag,17.SL.Time,17.PNL,18.PNL,18.SL.Flag,18.SL.Time,19.PNL
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-02,Monday,4,09:16:00,18210.0,18400CE,22.9,17850PE,21.95,35.879999999999995,20.182499999999994,True,2023-01-02 14:14:00,False,,-9.418499999999998,False,,False,,False,,-1.1085,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-03,Tuesday,3,09:16:00,18233.5,18400CE,18.55,17950PE,22.15,32.56,18.314999999999998,True,2023-01-03 11:55:00,False,,-8.547,False,,False,,False,,-5.3225,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-04,Wednesday,2,09:16:00,18279.4,18350CE,21.5,18050PE,18.1,31.680000000000003,17.82,False,,False,,19.153999999999996,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-05,Thursday,1,09:16:00,18119.2,18150CE,19.6,18000PE,27.25,37.480000000000004,21.0825,True,2023-01-05 10:34:00,False,,-9.838499999999998,False,,True,2023-01-05 15:01:00,False,,-7.780499999999996,False,,True,2023-01-05 15:05:00,False,,-4.893,False,,True,2023-01-05 15:10:00,False,,-3.78,False,,True,2023-01-05 15:15:00,False,,-2.530499999999998,False,,True,2023-01-05 15:19:00,False,,-1.2914999999999996,False,,False,,False,,4.611000000000001,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-06,Friday,7,09:16:00,18084.0,18350CE,20.3,17650PE,20.0,32.24,18.134999999999998,False,,False,,-5.252999999999994,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-09,Monday,4,09:16:00,18053.95,18250CE,20.85,17750PE,22.75,34.88,19.619999999999997,True,2023-01-09 14:46:00,False,,-9.155999999999999,False,,False,,False,,0.40700000000000003,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-10,Tuesday,3,09:16:00,18131.25,18250CE,21.45,17850PE,21.15,34.08,19.169999999999995,False,,False,,10.02400000000001,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-11,Wednesday,2,09:16:00,17954.1,18100CE,21.25,17700PE,21.25,34.0,19.124999999999996,True,2023-01-11 11:44:00,False,,-8.925,False,,True,2023-01-11 14:01:00,False,,-7.024499999999998,False,,True,2023-01-11 14:46:00,False,,-5.575499999999999,False,,True,2023-01-11 15:17:00,False,,-4.378499999999998,False,,False,,False,,-1.116000000000001,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-12,Thursday,1,09:16:00,17989.85,18000CE,27.9,17800PE,17.1,36.0,20.249999999999996,True,2023-01-12 09:45:00,False,,-9.45,False,,True,2023-01-12 12:19:00,False,,-7.423500000000001,False,,True,2023-01-12 12:51:00,False,,-5.607,False,,True,2023-01-12 14:06:00,False,,-4.451999999999998,False,,True,2023-01-12 14:08:00,False,,-3.538499999999999,False,,True,2023-01-12 14:16:00,False,,-2.793,False,,True,2023-01-12 14:18:00,False,,-2.2154999999999996,False,,True,2023-01-12 14:22:00,False,,-1.6274999999999997,False,,True,2023-01-12 14:50:00,False,,-1.2180000000000002,False,,True,2023-01-12 15:00:00,False,,-0.7034999999999999,False,,True,2023-01-12 15:02:00,False,,-0.43049999999999994,True,2023-01-12 15:04:00,-0.22049999999999997,True,2023-01-12 15:07:00,-0.15749999999999992,True,2023-01-12 15:09:00,-0.11549999999999999,True,2023-01-12 15:12:00,-0.07350000000000001,True,2023-01-12 15:15:00,-0.05249999999999999,True,2023-01-12 15:18:00,-0.04199999999999998,True,2023-01-12 15:21:00,-0.0315,-0.001,,,
SRE,nifty,09:16:00,15:25:00,BUY,20,55,0.1,2023-01-13,Friday,7,09:16:00,17898.85,18250CE,19.45,17400PE,20.35,31.84,17.909999999999997,True,2023-01-13 09:33:00,False,,-8.357999999999997,False,,True,2023-01-13 11:54:00,False,,-6.551999999999999,False,,False,,False,,-1.3989999999999987,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,False,,False,,False,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
